name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Toko Bangunan Jakarta. Putra Jaya,"Jl. Alaydrus No.14 A, RT.17/RW.3, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",putrajaya1.net,0815-1928-8718,95.0,4.5,-6.1645814,106.6696491
Toko Bangunan Sumber Alam,"Jl Tanah merdeka no 83, Jl. Tanah Merdeka No.83, RT.15/RW.5, Susukan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13750",,,14.0,4.9,-6.3074217,106.7290421
Sumber Lancar,"Jl. Anggrek Rosliana VII No.90, RT.3/RW.1, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,(021) 5347490,72.0,4.7,-6.1943744,106.6467891
TB.Dd Bangunan,"Jl. Anggrek I No.22, RT.10/RW.1, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",,(021) 52907250,147.0,4.7,-6.1943744,106.6467891
Toko Bangunan Alam Makmur,"Jl. Karbela Barat No.7, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",,0851-7445-8168,44.0,4.6,-6.1943744,106.6467891
TB. Gunung Abadi,"Jl. Raya Condet No.7, RT.7/RW.1, Balekambang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13530",,0897-5758-666,107.0,4.7,-6.1943744,106.6467891
Toko Besi Surya Mas,"Jl. Pejaten Raya No.28, RT.9/RW.10, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",,(021) 7890011,42.0,4.6,-6.1943744,106.6467891
Toko Makmur H. Juki,"PR69+M9P, Jl. Ampera Raya Jakarta Selatan, RT.6/RW.2, Ragunan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560",,(021) 7804994,28.0,4.6,-6.1943744,106.6467891
Toko Bahan Bangunan Sinar Abadi,"Jl. Asem Baris Raya No.321 4, RT.5/RW.12, Kb. Baru, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830",,0813-9902-2915,41.0,4.7,-6.1943744,106.6467891
TB Sumber Mas,"Jl. Sepat No.88, RT.9/RW.2, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,(021) 78845481,14.0,4.7,-6.1943744,106.6467891
