name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Toko Bangunan Restu Jaya,"No Jl. Buncit Raya No.3 4, RT.4/RW.2, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760",,(021) 7992870,,4.6,-6.3022585,106.6869056
TB. Berkah Bangunan,"Jl. Kalibata Tengah No.2, RT.2/RW.3, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740",,0811-8112-205,,4.3,-6.3022585,106.6869056
Toko Bangunan Persada (Bangka),"Jl.bangka Raya no.1 Perapatan Bangka 7 Dan 8, Dekat Kemang, RT.8/RW.7, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720",,0811-1995-519,,4.5,-6.3022585,106.6869056
Toko Thalia,"Jl. Raya Pasar Minggu No.31, RT.6/RW.1, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",,(021) 7805057,,4.7,-6.3022585,106.6869056
Toko Bangunan Berkah - UD Berkah,"Jl. Rawajati Timur I No.12, RT.5/RW.1, Rawajati, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750",,(021) 7973470,,4.9,-6.3022585,106.6869056
TB Raja Bangunan,"Jl. Bangka IX C No.92 9, RT.12/RW.5, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720",desty.page,0815-1071-6809,,4.5,-6.3022585,106.6869056
TB. Makmur Jaya,"Jl. Batu Ampar 3 No.29, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520",,(021) 80873183,,4.5,-6.3022585,106.6869056
Toko Bangunan MS,"Jl. Cinere Raya No.12A, Cinere, Kec. Cinere, Kota Depok, Jawa Barat 16514",,0813-1515-5538,,4.7,-6.3022585,106.6869056
Duta Bangunan,"No. 8 D, Jl. Pejaten Raya, RT.13/RW.2, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540",,,,4.5,-6.3022585,106.6869056
TB. MAJU,"Kecamatan:, Kelurahan: Bangka, Jl. Kemang Raya No.92, RT.:10.Rw:2/RW.2, Kec. Mampang Prpt., Daerah Khusus Ibukota Jakarta 12730",,(021) 71793609,,4.7,-6.3022585,106.6869056
Toko Bangunan Tiga Mas,"Jl. Bahagia Raya Blok IV No.1-2, Depok Timur, Kec. Sukmajaya, Kota Depok, Jawa Barat 16417",,(021) 7702918,,4.7,-6.3022585,106.6869056
Toko Bangunan Batu Raden,"RR47+WV5, Jl. Kh. MAS Mansyur,Jakpus., RT.1/RW.8, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",,,,4.5,-6.1927322,106.6705352
Toko bangunan Al Yamin,"Jl. Kerja Bakti, Makasar, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13570",,(021) 8003766,,4.5,-6.1927322,106.6705352
Toko Material Cahaya Timur,"Jl. Cahaya Titis No.53, Beji, Kecamatan Beji, Kota Depok, Jawa Barat 16426",,(021) 7752264,,4.4,-6.3830733,106.6636757
TOKO BANGUNAN DIMAS,"Jl. Inspeksi Kali Grogol, Jl. Palmerah Utara No.19, RT.6/RW.7, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,0812-1990-9595,,4.6,-6.2050829,106.6485553
Maha Bangunan,"Jl. Ciputat Raya No.144, RT.6/RW.2, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310",mahabangunan.com,0857-7332-5260,,4.9,-6.2050829,106.6485553
Toko Bangunan Sinar Baru,"Jl. Moch. Kahfi II No.7, RT.1/RW.3, Cipedak, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",,(021) 7873369,,4.7,-6.3531903,106.6670528
Jati Mas,"Jl. Wr. Jati Timur Raya No.83 8, RT.8/RW.4, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740",,(021) 79193671,,4.6,-6.3531903,106.6670528
