name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,map_url
Melly Roti & Kue,"Jl. Adityawarman No.78, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60242",mellyrotikue.com,0812-1639-3377,629,4.4,-7.3044176,112.6182748,"https://www.google.com/maps/place/Melly+Roti+%26+Kue/@-7.3044176,112.6182748,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fb91797b3707:0xc7b12eecdba6fac0!8m2!3d-7.29345!4d112.730858!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F1pzsskx6r?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Cake Boss,"Jl. Rungkut Madya No.119, Rungkut Kidul, Kec. Rungkut, Surabaya, Jawa Timur 60293",,(031) 8710776,556,4.5,-7.3044176,112.6182748,"https://www.google.com/maps/place/Cake+Boss/@-7.3044176,112.6182748,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fac41ead30b7:0x36d095e2c26142f3!8m2!3d-7.331344!4d112.780325!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F11b6ybtk8r?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Laritta Bakery Kutai,"Jl. Kutai No.56, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60243",larittabakery.com,0895-6281-32642,585,4.8,-7.3044176,112.6182748,"https://www.google.com/maps/place/Laritta+Bakery+Kutai/@-7.3044176,112.6182748,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fb9402402179:0xd502115eeaf23edc!8m2!3d-7.2925461!4d112.7330325!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F11btm7s71_?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Secret sugar surabaya,"Ruko Klampis Jaya, Milenial No. 43 C, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117",,0822-5717-6332,236,5.0,-7.3044176,112.6182748,"https://www.google.com/maps/place/Secret+sugar+surabaya/@-7.3044176,112.6182748,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0xa0f3181cb562813:0xf8ade05d9c3ee9ad!8m2!3d-7.2827689!4d112.7762302!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F11ny4hs6_j?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Laritta Bakery Stasiun Gubeng Baru,"Jl. Gubeng Masjid, Pacar Keling, Kec. Tambaksari, Surabaya, Jawa Timur 60131",larittabakery.com,0895-3454-68811,223,4.9,-7.3044176,112.6182748,"https://www.google.com/maps/place/Laritta+Bakery+Stasiun+Gubeng+Baru/@-7.3044176,112.6182748,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7f993fb4c1f3b:0xa794557e4d7abc5e!8m2!3d-7.2655898!4d112.7532322!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F11shrt81nh?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Kue Nyonya Sunaryo,"Jl. Manyar Tirtoasri VII No.22, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60118",,(031) 5940657,738,4.6,-7.3044176,112.6182748,"https://www.google.com/maps/place/Kue+Nyonya+Sunaryo/@-7.3044176,112.6182748,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fa362240910d:0x4f21604410785622!8m2!3d-7.2850974!4d112.7708368!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBCWNha2Vfc2hvcOABAA!16s%2Fg%2F1pzrcknmr?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
ROTI IN Tjwan Bo,"Jl. Raya Jemursari No.128-130, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237",,(031) 8431855,1668,4.6,-7.3044176,112.6182748,"https://www.google.com/maps/place/ROTI+IN+Tjwan+Bo/@-7.3044176,112.6182748,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fb11120f5b63:0xf759edac9c964f7d!8m2!3d-7.3212592!4d112.745949!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F1pzr95_s8?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Roti Mox Tambang Boyo,"Jl. Tambang Boyo No.110, Pacar Kembang, Kec. Tambaksari, Surabaya, Jawa Timur 60132",rotimox.com,0852-3065-8844,763,4.9,-7.3044176,112.6182748,"https://www.google.com/maps/place/Roti+Mox+Tambang+Boyo/@-7.3044176,112.6182748,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7f921fe85bb07:0xe1a1e5c00b4af76f!8m2!3d-7.2599048!4d112.7596951!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBCWNha2Vfc2hvcOABAA!16s%2Fg%2F11j920smrb?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Roti / Kue Hot Bread Surabaya,"Jl. Gubeng Kertajaya VI B No.49, RW.12, Kertajaya, Kec. Gubeng, Surabaya, Jawa Timur 60282",instagram.com,0878-5553-5653,329,5.0,-7.3044176,112.6182748,"https://www.google.com/maps/place/Roti+%2F+Kue+Hot+Bread+Surabaya/@-7.3044176,112.6182748,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7fbce9b9afb7d:0x9cd8e1f11102ee0f!8m2!3d-7.2795931!4d112.7565351!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBBmJha2VyeeABAA!16s%2Fg%2F1jkvt7y4y?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
Kue Tart Enak & murah Surabaya,"Jl. Kedung Turi 4 No.17, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261",sites.google.com,0857-3112-1381,55,5.0,-7.3044176,112.6182748,"https://www.google.com/maps/place/Kue+Tart+Enak+%26+murah+Surabaya/@-7.3044176,112.6182748,12z/data=!4m11!1m3!2m2!1stoko+kue+surabaya!6e5!3m6!1s0x2dd7f963bd67ec8b:0x9ac7315f07d1a504!8m2!3d-7.2612611!4d112.736185!15sChF0b2tvIGt1ZSBzdXJhYmF5YVoTIhF0b2tvIGt1ZSBzdXJhYmF5YZIBCWNha2Vfc2hvcOABAA!16s%2Fg%2F11tbhhslty?entry=ttu&g_ep=EgoyMDI1MDEyOS4xIKXMDSoASAFQAw%3D%3D"
